,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description
15139,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),833,Intravenous,mg,TDS,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
15140,PROCYCLIDINE,5,Intravenous,mg,TDS,Injection,10 mg/2ml,1004606,Y,CENTRAL NERVOUS SYSTEM,04.09.02,Pack,5,x 2mL ampoule
15141,PHENYTOIN SODIUM,375,Intravenous,mg,OM,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Pack,5,x 5mL ampoule
15142,PHENYTOIN SODIUM,375,Intravenous,mg,OM,Injection,250 mg/5ml,1004468,N,CENTRAL NERVOUS SYSTEM,04.08.02,Carton,10,x 5mL ampoule
15231,ONDANSETRON,4,Intravenous,mg,OM,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
15232,ONDANSETRON,4,Intravenous,mg,OM,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
15260,CYCLIZINE,50,Intravenous,mg,BD,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
15263,DIGOXIN PAEDIATRIC,125,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,1,x 1mL ampoule
15264,DIGOXIN PAEDIATRIC,84,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,1,x 1mL ampoule
15265,DIGOXIN PAEDIATRIC,125,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,10,x 1mL ampoule
15266,DIGOXIN PAEDIATRIC,84,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,10,x 1mL ampoule
15268,ONDANSETRON,8,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
15269,TRANEXAMIC ACID,500,Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
15270,TRANEXAMIC ACID,500,Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
15354,LORAZEPAM,2,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15355,LORAZEPAM,2,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15356,LORAZEPAM,2,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15357,LORAZEPAM,2,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15415,LORAZEPAM,1,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15416,LORAZEPAM,1,Intravenous,mg,BD,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15417,LORAZEPAM,0.5,Intravenous,mg,Custom TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
15418,LORAZEPAM,0.5,Intravenous,mg,Custom TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
15446,GENTAMICIN,240,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
15447,GENTAMICIN,240,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
15515,FUROSEMIDE,40,Intravenous,mg,*1X MORN-*2X AM/LU Transition Frequency,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
15516,FUROSEMIDE,40,Intravenous,mg,*1X MORN-*2X AM/LU Transition Frequency,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
15754,ONDANSETRON,4,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
15755,ONDANSETRON,8,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
15825,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
15846,FUROSEMIDE,60,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
15847,FUROSEMIDE,60,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
15948,ONDANSETRON,4,Intravenous,mg,BD,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
15949,ONDANSETRON,4,Intravenous,mg,BD,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
16013,DEXAMETHASONE BASE (ASPEN),8,Intravenous,mg,BD,Injection,3.8 mg/1ml,1021220,N,EYE,11.04.02,Pack,10,x 1mL vial
16014,DEXAMETHASONE BASE (ASPEN),8,Intravenous,mg,OM,Injection,3.8 mg/1ml,1021220,N,EYE,11.04.02,Pack,10,x 1mL vial
16016,DEXAMETHASONE BASE,4,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
16114,FUROSEMIDE,60,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
16115,FUROSEMIDE,60,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
16303,DEXAMETHASONE BASE,40,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
16435,GENTAMICIN,360,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
16436,GENTAMICIN,360,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
16448,PHYTOMENADIONE,10,Intravenous,mg,OD,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
16504,LORAZEPAM,4,Intravenous,mg,once maximum 4 mg,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
16505,LORAZEPAM,4,Intravenous,mg,once maximum 4 mg,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
16759,METOCLOPRAMIDE,10,Intravenous,mg,BD,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
16760,METOCLOPRAMIDE,10,Intravenous,mg,BD,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
16777,TRAMADOL,100,Intravenous,mg,BD,Injection,100 mg/2ml,2007322,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,5,x 2mL ampoule
16778,TRAMADOL,100,Intravenous,mg,BD,Injection,100 mg/2ml,2007322,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 2mL ampoule
16855,ONDANSETRON,4,Intravenous,mg,BD,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
16856,ONDANSETRON,4,Intravenous,mg,BD,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
16857,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
16872,CO-TRIMOXAZOLE,"2,112.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
16873,CO-TRIMOXAZOLE,"2,112.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
16874,CO-TRIMOXAZOLE,"2,112.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
17011,METRONIDAZOLE,500,Intravenous,mg,BD,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
17014,LORAZEPAM,1,Intravenous,mg,4H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
17015,LORAZEPAM,1,Intravenous,mg,4H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
17200,METRONIDAZOLE,500,Intravenous,mg,BD,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
17220,DEXAMETHASONE BASE,6.6,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
17483,LORAZEPAM,4,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
17484,LORAZEPAM,4,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
17554,DEXAMETHASONE BASE,4.95,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
17567,FUROSEMIDE,100,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
17568,FUROSEMIDE,100,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
17623,DEXAMETHASONE BASE,8,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
17888,CO-TRIMOXAZOLE,"1,440.00",Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
17889,CO-TRIMOXAZOLE,"1,440.00",Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
17890,CO-TRIMOXAZOLE,"1,440.00",Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
18029,MORPHINE SULFATE,5,Intravenous,mg,TDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
18051,LORAZEPAM,1,Intravenous,mg,6H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
18052,LORAZEPAM,1,Intravenous,mg,6H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
18350,CHLORPHENAMINE,10,Intravenous,mg,TDS,Injection,10 mg/1ml,1003307,N,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
18401,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),500,Intravenous,mg,OD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
18407,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),500,Intravenous,mg,OD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
18598,HYDROCORTISONE SODIUM PHOSPHATE,50,Intravenous,mg,QDS,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
18599,HYDROCORTISONE SODIUM PHOSPHATE,50,Intravenous,mg,BD,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
18649,LORAZEPAM,0.5,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
18650,LORAZEPAM,0.5,Intravenous,mg,TDS,Injection,4 mg/1ml,1004006,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
18692,DEXAMETHASONE BASE,16,Intravenous,mg,OD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
18756,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,ON,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
18757,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,ON,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
18826,GENTAMICIN,300,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
18827,GENTAMICIN,300,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
18916,LORAZEPAM,2,Intravenous,mg,6H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
18917,LORAZEPAM,2,Intravenous,mg,6H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
19063,CO-TRIMOXAZOLE,960,Intravenous,mg,OD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
19064,CO-TRIMOXAZOLE,960,Intravenous,mg,OD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
19065,CO-TRIMOXAZOLE,960,Intravenous,mg,OD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
19107,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),"1,000.00",Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
19181,LORAZEPAM,2,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
19182,LORAZEPAM,2,Intravenous,mg,QDS,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
19282,MORPHINE SULFATE,10,Intravenous,mg,BD,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
19294,MORPHINE SULFATE,10,Intravenous,mg,Every hour,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
19329,METRONIDAZOLE,500,Intravenous,mg,TDS,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
19330,MORPHINE SULFATE,1.25,Intravenous,mg,6H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
19333,LORAZEPAM,4,Intravenous,mg,4H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,10,x 1mL ampoule
19334,LORAZEPAM,4,Intravenous,mg,4H,Injection,4 mg/1ml,1004006,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,25,x 1mL ampoule
19408,METRONIDAZOLE,400,Intravenous,mg,BD,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
19430,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,8H,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
19431,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,6H,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
19432,MORPHINE SULFATE,10,Intravenous,mg,8H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
19433,MORPHINE SULFATE,5,Intravenous,mg,8H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
19434,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,6H,Injection,20 mg/1ml,1000042,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
19435,ONDANSETRON,4,Intravenous,mg,6H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
19436,ONDANSETRON,4,Intravenous,mg,6H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
19505,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),800,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
19603,ONDANSETRON,3,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
19604,ONDANSETRON,3,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
19636,DEXAMETHASONE BASE,5,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
19661,GENTAMICIN,450,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
19662,GENTAMICIN,450,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
19706,GENTAMICIN,400,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
19707,GENTAMICIN,400,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
19736,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),600,Intravenous,mg,OD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
19783,FUROSEMIDE,40,Intravenous,mg,ON,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
19784,FUROSEMIDE,40,Intravenous,mg,ON,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
19785,FUROSEMIDE,120,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
19786,FUROSEMIDE,120,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
19839,CHLORPHENAMINE,10,Intravenous,mg,QDS,Injection,10 mg/1ml,1003307,Y,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
19850,RANITIDINE,50,Intravenous,mg,8H,Injection,50 mg/2ml,1004667,Y,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,5,x 2mL ampoule
19997,PHYTOMENADIONE,10,Intravenous,mg,TDS,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
20002,LINEZOLID,600,Intravenous,mg,BD,Injection,600 mg/300ml,2004907,N,INFECTIONS,05.01.07,Bag,1,mL
20006,CLINDAMYCIN,900,Intravenous,mg,8H,Injection,300 mg/2ml,9009049,N,INFECTIONS,05.01.06,Pack,5,x 2mL ampoule
20035,CHLORPHENAMINE,10,Intravenous,mg,ON,Injection,10 mg/1ml,1003307,Y,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
20044,CO-TRIMOXAZOLE,"3,600.00",Intravenous,mg,TDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
20045,CO-TRIMOXAZOLE,"3,600.00",Intravenous,mg,TDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
20046,CO-TRIMOXAZOLE,"3,600.00",Intravenous,mg,TDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
20104,HYOSCINE BUTYLBROMIDE,10,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
20187,DIGOXIN,125,Intravenous,microgram,OM,Injection,500 micrograms/2ml,2003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,5,x 2mL ampoule
20188,DIGOXIN,125,Intravenous,microgram,OM,Injection,500 micrograms/2ml,2003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,10,x 2mL ampoule
20392,ONDANSETRON,8,Intravenous,mg,TDS,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
20437,ONDANSETRON,8,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
20438,ONDANSETRON,8,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
20473,GENTAMICIN,360,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
20474,GENTAMICIN,360,Intravenous,mg,ON,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
20570,METOCLOPRAMIDE,5,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
20571,METOCLOPRAMIDE,5,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
20718,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
20719,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
20720,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
20786,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,Y,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
20787,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,Y,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
20873,TOCILIZUMAB,400,Intravenous,mg,Once a week in the morning,Injection,80 mg/4ml,1017410,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Vial,1,mL
20882,DEXAMETHASONE BASE,4,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
20957,HYOSCINE BUTYLBROMIDE,10,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
21008,DEXAMETHASONE BASE (ASPEN),8,Intravenous,mg,BD,Injection,3.8 mg/1ml,1021220,N,EYE,11.04.02,Pack,10,x 1mL vial
21025,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
21026,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
21027,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
21111,ONDANSETRON,4,Intravenous,mg,6H,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
21172,MORPHINE SULFATE,5,Intravenous,mg,3H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
21256,GENTAMICIN,280,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
21257,GENTAMICIN,280,Intravenous,mg,OM,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
21332,ONDANSETRON,8,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
21333,ONDANSETRON,8,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
21509,CYCLIZINE,50,Intravenous,mg,BD,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
21510,CYCLIZINE,50,Intravenous,mg,BD,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
21613,OXYCODONE,2.5,Intravenous,mg,Every 2 hours,Injection,10 mg/1ml,1014638,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,5,x 1mL ampoule
21615,GENTAMICIN,340,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
21616,GENTAMICIN,340,Intravenous,mg,OD,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
