,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
14460,PAROXETINE,30,Oral,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,30,tablet,04.03.03,Selective serotonin re-uptake inhibitors
14461,OXYTETRACYCLINE,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.03,Pack,28,tablet,05.01.03,Tetracyclines
14464,DEXAMFETAMINE,40,Oral,mg,OM,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,4.04,Pack,28,tablet,4.04,CNS stimulants and drugs used for ADHD
14465,DEXAMFETAMINE,40,Oral,mg,OM,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,4.04,Pack,30,tablet,4.04,CNS stimulants and drugs used for ADHD
14472,LIOTHYRONINE,5,Oral,microgram,OD,Tablets,20 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
14473,LIOTHYRONINE,5,Oral,microgram,ON,Tablets,20 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
14474,ROPINIROLE,"1,000.00",Oral,microgram,ON,Tablets,250 microgram,N,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,12,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
14478,HYOSCINE BUTYLBROMIDE,10,Oral,mg,TDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
14488,DEXAMETHASONE,8,Oral,mg,ON,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,50,tablet,06.03.02,Glucocorticoid therapy
14489,DEXAMETHASONE,8,Oral,mg,ON,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,100,tablet,06.03.02,Glucocorticoid therapy
14490,DEXAMETHASONE,8,Oral,mg,ON,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,500,tablet,06.03.02,Glucocorticoid therapy
14506,CETIRIZINE,10,Oral,mg,OM,Tablets,10 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
14507,SERTRALINE,50,Oral,mg,OM,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
14529,HYOSCINE BUTYLBROMIDE,10,Oral,mg,OM,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
14530,BETAHISTINE,16,Oral,mg,OM,Tablets,16 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,84,tablet,4.06,Drugs used in nausea and vertigo
14573,LEVOFLOXACIN,500,Oral,mg,OD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
14577,BENZBROMARONE,50,Oral,mg,OD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,30,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14578,BENZBROMARONE,50,Oral,mg,OD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,100,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14579,BENZBROMARONE,50,Oral,mg,BD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,30,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14580,BENZBROMARONE,50,Oral,mg,BD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,100,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14581,BENZBROMARONE,100,Oral,mg,BD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,30,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14582,BENZBROMARONE,100,Oral,mg,BD,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,100,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
14584,PROMETHAZINE TEOCLATE,50,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,28,tablet,4.06,Drugs used in nausea and vertigo
14585,VERAPAMIL,120,Oral,mg,OM,Tablets,120 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,28,tablet,02.06.03,Other antianginal drugs
14591,EPLERENONE,12.5,Oral,mg,ON,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
14610,HYDROCORTISONE,20,Oral,mg,BD,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,tablet,06.03.02,Glucocorticoid therapy
14617,VERAPAMIL,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,84,tablet,02.06.03,Other antianginal drugs
14622,METOCLOPRAMIDE,10,Oral,mg,TDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,28,tablet,1.02,Antispasmodics and other drugs altering gut motility
14625,TERAZOSIN,10,Oral,mg,ON,Tablets,10 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.01,Pack,28,tablet,07.04.01,Drugs for urinary retention
14626,HYDRALAZINE,50,Oral,mg,TDS,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,02.05.01,Pack,56,tablet,02.05.01,Vasodilator antihypertensive drugs
14627,PROPYLTHIOURACIL,50,Oral,mg,BD,Tablets,50 mg,N,ENDOCRINE SYSTEM,06.02.02,Pack,56,tablet,06.02.02,Antithyroid drugs
14628,PROPYLTHIOURACIL,50,Oral,mg,BD,Tablets,50 mg,N,ENDOCRINE SYSTEM,06.02.02,Bottle,100,tablet,06.02.02,Antithyroid drugs
14630,METOPROLOL,100,Oral,mg,BD,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14638,DIAZEPAM,1,Oral,mg,6H,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
14661,LEVOFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,5,tablet,05.01.12,Quinolones
14662,LEVOFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
14663,VARENICLINE,500,Oral,microgram,OD,Tablets,500 microgram,N,CENTRAL NERVOUS SYSTEM,04.10.02,Pack,56,tablet,04.10.02,Nicotine dependence
14667,PHYTOMENADIONE,10,Oral,mg,TDS,Tablets,10 mg,N,NUTRITION AND BLOOD,09.06.06,Pack,10,tablet,09.06.06,Vitamin K
14668,PHYTOMENADIONE,10,Oral,mg,TDS,Tablets,10 mg,N,NUTRITION AND BLOOD,09.06.06,Pack,30,tablet,09.06.06,Vitamin K
14670,CLOMIFENE,50,Oral,mg,BD,Tablets,50 mg,N,ENDOCRINE SYSTEM,06.05.01,Pack,30,tablet,06.05.01,Hypothalamic & anterior pituitary hormone & antioestrogens
14676,BISOPROLOL,1.25,PO / NG / PEG,mg,OM,Tablets,1.25 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14684,ZOPICLONE,15,Oral,mg,ON,Tablets,7.5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
14687,ASCORBIC ACID,"1,000.00",Oral,mg,OM,Tablets,500 mg,N,NUTRITION AND BLOOD,09.06.03,Pack,28,tablet,09.06.03,Vitamin C
14688,DOXAZOSIN,5,Oral,mg,BD,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
14689,CEFUROXIME,"1,000.00",Oral,mg,TDS,Tablets,250 mg,N,INFECTIONS,05.01.02,Pack,14,tablet,05.01.02,Cephalosporins and other beta-lactams
14694,AZATHIOPRINE,50,Oral,mg,OD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,28,tablet,08.02.01,Antiproliferative immunosuppressants
14695,AZATHIOPRINE,50,Oral,mg,OD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,100,tablet,08.02.01,Antiproliferative immunosuppressants
14696,AZATHIOPRINE,25,Oral,mg,OD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,28,tablet,08.02.01,Antiproliferative immunosuppressants
14697,AZATHIOPRINE,25,Oral,mg,OD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,100,tablet,08.02.01,Antiproliferative immunosuppressants
14700,MIDODRINE,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
14701,MIDODRINE,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
14711,FUROSEMIDE,20,Oral,mg,OD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
14720,BUMETANIDE,3,Oral,mg,OD,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
14721,HYOSCINE HYDROBROMIDE,300,Oral,microgram,TDS,Tablets,300 microgram,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,12,tablet,4.06,Drugs used in nausea and vertigo
14724,LORAZEPAM,"1,000.00",Oral,microgram,OM,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
14725,CARBAMAZEPINE 'TEGRETOL',300,Oral,mg,OM,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
14731,AMIODARONE,200,Oral,mg,BD,Tablets,200 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,28,tablet,02.03.02,Drugs for arrhythmias
14732,EPLERENONE,12.5,Oral,mg,OD,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
14733,CITALOPRAM,20,PEG,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
14734,METOPROLOL,12.5,Oral,mg,BD,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14742,ONDANSETRON,8,Oral,mg,TDS,Tablets,8 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,10,tablet,4.06,Drugs used in nausea and vertigo
14744,MERCAPTOPURINE,75,Oral,mg,OD,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.01.03,Bottle,25,tablet,08.01.03,Antimetabolites
14749,TRIHEXYPHENIDYL,2,Oral,mg,ON,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.09.02,Pack,84,tablet,04.09.02,Antimuscarinic drugs used in parkinsonism
14750,HALOPERIDOL,10,Oral,mg,BD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
14770,RISPERIDONE,3,Oral,mg,BD,Tablets,3 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,60,tablet,04.02.01,Antipsychotic drugs
14771,COLECALCIFEROL 'ACIFEROL D3',800,Oral,unit(s),BD,Tablets,400 units,N,NUTRITION AND BLOOD,09.06.04,Pack,90,tablet,09.06.04,Vitamin D
14772,HYDROXYZINE,25,Oral,mg,BD,Tablets,25 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,25,tablet,03.04.01,Antihistamines
14773,HYDROXYZINE,25,Oral,mg,BD,Tablets,25 mg,N,RESPIRATORY SYSTEM,03.04.01,Bottle,28,tablet,03.04.01,Antihistamines
14776,FEXOFENADINE,180,Oral,mg,OD,Tablets,180 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
14779,CARBIMAZOLE,5,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.02.02,Pack,100,tablet,06.02.02,Antithyroid drugs
14781,OXYBUTYNIN,5,Oral,mg,ON,Tablets,2.5 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,84,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
14786,NORTRIPTYLINE,30,Oral,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,100,tablet,04.03.01,Tricyclic and related antidepressant drugs
14787,LEFLUNOMIDE,10,Oral,mg,OD,Tablets,10 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,30,tablet,10.01.03,Rheumatic disease suppressant drugs
14788,DEMECLOCYCLINE,300,Oral,mg,BD,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
14789,DEMECLOCYCLINE,300,Oral,mg,QDS,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
14790,DEMECLOCYCLINE,600,Oral,mg,QDS,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
14791,DEMECLOCYCLINE,600,Oral,mg,OM,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
14792,DEMECLOCYCLINE,300,Oral,mg,OM,Tablets,150 mg,N,INFECTIONS,05.01.03,Pack,100,tablet,05.01.03,Tetracyclines
14795,NITRAZEPAM,20,Oral,mg,ON,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
14800,ALFUZOSIN,2.5,Oral,mg,BD,Tablets,2.5 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.01,Pack,60,tablet,07.04.01,Drugs for urinary retention
14801,SULPIRIDE,600,Oral,mg,ON,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14802,SULPIRIDE,400,Oral,mg,OM,Tablets,400 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14803,SULPIRIDE,200,Oral,mg,ON,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14804,SULPIRIDE,400,Oral,mg,BD,Tablets,400 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14805,SULPIRIDE,600,Oral,mg,ON,Tablets,400 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14807,SULPIRIDE,400,Oral,mg,ON,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,30,tablet,04.02.01,Antipsychotic drugs
14817,TOPIRAMATE,50,Oral,mg,OM,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
14818,PROPRANOLOL,60,Oral,mg,OM,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14823,TEMAZEPAM,20,Oral,mg,ON,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
14824,AMLODIPINE,10,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
14826,DESMOPRESSIN,400,Oral,microgram,OD,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.05.02,Pack,90,tablet,06.05.02,Posterior pituitary hormones and antagonists
14829,DESMOPRESSIN,150,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.05.02,Pack,90,tablet,06.05.02,Posterior pituitary hormones and antagonists
14830,DESMOPRESSIN,150,Oral,microgram,ON,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.05.02,Pack,90,tablet,06.05.02,Posterior pituitary hormones and antagonists
14833,PRIMIDONE,200,Oral,mg,OD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,1,tablet,04.08.01,Control of epilepsy
14834,PRIMIDONE,200,Oral,mg,OD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,100,tablet,04.08.01,Control of epilepsy
14835,PRIMIDONE,250,Oral,mg,ON,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,1,tablet,04.08.01,Control of epilepsy
14836,PRIMIDONE,250,Oral,mg,ON,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,100,tablet,04.08.01,Control of epilepsy
14837,PRIMIDONE,250,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,1,tablet,04.08.01,Control of epilepsy
14838,PRIMIDONE,250,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,100,tablet,04.08.01,Control of epilepsy
14843,PRIMIDONE,50,Oral,mg,OD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,1,tablet,04.08.01,Control of epilepsy
14844,PRIMIDONE,50,Oral,mg,OD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,100,tablet,04.08.01,Control of epilepsy
14859,ONDANSETRON,8,Oral,mg,BD,Tablets,8 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,10,tablet,4.06,Drugs used in nausea and vertigo
14874,IBUPROFEN,600,Oral,mg,8H,Tablets,600 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
14876,CIMETIDINE,200,Oral,mg,BD,Tablets,200 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,60,tablet,01.03.01,H2-receptor antagonists
14880,SPIRONOLACTONE,50,Oral,mg,BD,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
14885,MIDODRINE,2.5,Oral,mg,TDS,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Bottle,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
14886,MIDODRINE,2.5,Oral,mg,TDS,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
14887,BISOPROLOL,1.25,Oral,mg,BD,Tablets,1.25 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14895,LAMOTRIGINE,100,Oral,mg,OD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
14898,SULFASALAZINE,"1,000.00",Oral,mg,TDS,Tablets,500 mg,N,GASTRO-INTESTINAL SYSTEM,1.05,Pack,112,tablet,1.05,Chronic bowel disorders
14901,MERCAPTOPURINE,25,Oral,mg,OD,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.01.03,Bottle,25,tablet,08.01.03,Antimetabolites
14902,AZATHIOPRINE,25,Oral,mg,BD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,28,tablet,08.02.01,Antiproliferative immunosuppressants
14903,AZATHIOPRINE,25,Oral,mg,BD,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,100,tablet,08.02.01,Antiproliferative immunosuppressants
14906,LEVOTHYROXINE SODIUM,100,Oral,microgram,OM,Tablets,25 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
14907,DIAZEPAM,2,Oral,mg,ON,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
14913,BISOPROLOL,5,Oral,mg,OD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14914,LABETALOL,100,Oral,mg,OM,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
14917,PREDNISOLONE,10,Oral,mg,OM,Tablets,1 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
14920,CARVEDILOL,1.56,Oral,mg,BD,Tablets,3.125 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14927,PROMAZINE,50,Oral,mg,TDS,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,tablet,04.02.01,Antipsychotic drugs
14930,PROMAZINE,50,Oral,mg,TDS,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,tablet,04.02.01,Antipsychotic drugs
14931,APIXABAN,10,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,56,tablet,02.08.02,Oral anticoagulants
14935,PENICILLAMINE,250,Oral,mg,BD,Tablets,250 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,56,tablet,10.01.03,Rheumatic disease suppressant drugs
14938,AMITRIPTYLINE,125,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
14942,DIGOXIN,62.5,Oral,microgram,BD,Tablets,62.5 microgram,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,28,tablet,02.01.01,Cardiac glycosides
14944,RIVAROXABAN,20,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,10,tablet,02.08.02,Oral anticoagulants
14945,RIVAROXABAN,20,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,30,tablet,02.08.02,Oral anticoagulants
14947,ACETAZOLAMIDE,250,Oral,mg,ON,Tablets,250 mg,N,EYE,11.06,Pack,112,tablet,11.06,Treatment of glaucoma
14950,MODAFINIL,200,Oral,mg,TDS,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,4.04,Pack,30,tablet,4.04,CNS stimulants and drugs used for ADHD
14951,PROMAZINE,50,Oral,mg,QDS,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,tablet,04.02.01,Antipsychotic drugs
14952,MODAFINIL,200,Oral,mg,QDS,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,4.04,Pack,30,tablet,4.04,CNS stimulants and drugs used for ADHD
14954,METOPROLOL,50,Oral,mg,TDS,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14956,LEVOTHYROXINE SODIUM,175,Oral,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
14959,NALOXEGOL,12.5,Oral,mg,OM,Tablets,25 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.06,Pack,30,tablet,01.06.06,Peripheral opioid-receptor antagonists
14963,BISOPROLOL,10,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
14965,CETIRIZINE,10,Oral,mg,QDS,Tablets,10 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
14967,URSODEOXYCHOLIC ACID,150,Oral,mg,TDS,Tablets,150 mg,N,GASTRO-INTESTINAL SYSTEM,01.09.01,Pack,60,tablet,01.09.01,Drugs affecting biliary composition and flow
14971,DOXAZOSIN,12,Oral,mg,BD,Tablets,4 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
14977,DOMPERIDONE,10,Oral,mg,BD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,30,tablet,4.06,Drugs used in nausea and vertigo
14978,DOMPERIDONE,10,Oral,mg,BD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,100,tablet,4.06,Drugs used in nausea and vertigo
14982,AMLODIPINE,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
14983,IMIPRAMINE,50,Oral,mg,OD,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
14984,IMIPRAMINE,50,Oral,mg,OM,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
14989,FOLIC ACID,5,Oral,mg,TDS,Tablets,5 mg,N,NUTRITION AND BLOOD,09.01.02,Pack,28,tablet,09.01.02,Drugs used in megaloblastic anaemias
14992,AMIODARONE,200,Oral,mg,TDS,Tablets,200 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,28,tablet,02.03.02,Drugs for arrhythmias
14993,IMIPRAMINE,125,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
14994,IMIPRAMINE,150,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
14998,MINOCYCLINE,100,Oral,mg,OD,Tablets,100 mg,N,INFECTIONS,05.01.03,Pack,28,tablet,05.01.03,Tetracyclines
15007,VORTIOXETINE,15,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,28,tablet,04.03.04,Other antidepressant drugs
15008,ZUCLOPENTHIXOL,20,Oral,mg,TDS,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,tablet,04.02.01,Antipsychotic drugs
15019,MELOXICAM,15,Oral,mg,OD,Tablets,15 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,30,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
15024,CARBAMAZEPINE 'CARBAGEN',200,Oral,mg,OD,Tablets,200 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
