drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
DEXAMETHASONE,2,Oral,mg,OD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,150,mL,"['10 mg', '5ml']"
DEXAMETHASONE,4,Oral,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,50,mL,"['10 mg', '5ml']"
DEXAMETHASONE,4,Oral,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,150,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,2-4 hourly,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,2-4 hourly,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PHENOXYMETHYLPENICILLIN,250,Oral,mg,QDS,Oral Solution Sugar Free,125 mg/5ml,1013084,N,INFECTIONS,05.01.01.01,Bottle,100,mL,"['125 mg', '5ml']"
RISPERIDONE,1,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
RISPERIDONE,1,Oral,mg,09:30 and 17:00,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
RISPERIDONE,0.5,Oral,mg,09:30 and 17:00,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
FOLIC ACID,5,Oral,mg,09:30,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
MEMANTINE,10,Oral,mg,09:30,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,10,Oral,mg,09:30,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
AMLODIPINE,5,Oral,mg,09:30,Oral Solution Sugar Free,5 mg/5ml,1021722,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,150,mL,"['5 mg', '5ml']"
SODIUM PICOSULFATE,5,Oral,mg,On alternate nights,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
METFORMIN,500,PO / NG / PEG,mg,OM,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,500,PO / NG / PEG,mg,OM,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
CARBOCISTEINE,750,PO / NG / PEG,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
PROPRANOLOL,40,Oral,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007172,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['40 mg', '5ml']"
METHADONE,35,Oral,mg,STAT,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,35,Oral,mg,STAT,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,35,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,35,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,75,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,75,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
KETAMINE (ORANGE),50,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
KETAMINE (ORANGE),50,Oral,mg,BD,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
LACOSAMIDE,100,Oral,mg,ON,Oral Solution Sugar Free,10 mg/ml,1019204,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,1,mL,"['10 mg', 'ml']"
LACOSAMIDE,150,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1019204,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,1,mL,"['10 mg', 'ml']"
TRAZODONE,25,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
FUROSEMIDE,80,PO / NG / PEG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
METHADONE (contains sugar),40,Oral,mg,BD,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,5,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,10,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
DEXAMETHASONE,"1,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"1,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"3,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"3,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
CARBOCISTEINE,500,Oral,mg,QDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
DOCUSATE,10,Oral,mg,BD,Oral Solution Sugar Free,12.5 mg/5ml,1003676,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['12.5 mg', '5ml']"
DOCUSATE,100,Oral,mg,BD,Oral Solution Sugar Free,12.5 mg/5ml,1003676,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['12.5 mg', '5ml']"
FUROSEMIDE,80,Oral,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
SODIUM VALPROATE,900,Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
PHENYTOIN,90,Oral,mg,TDS,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,90,Oral,mg,TDS,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE [:CONCENTRATED],2.5,Oral,mg,QDS,Oral Solution Sugar Free,20 mg/ml,1006390,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,30,mL,"['20 mg', 'ml']"
MORPHINE SULFATE [:CONCENTRATED],2.5,Oral,mg,QDS,Oral Solution Sugar Free,20 mg/ml,1006390,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,120,mL,"['20 mg', 'ml']"
DIGOXIN PAEDIATRIC,100,NG,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
DIGOXIN PAEDIATRIC,150,NG,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
MEFENAMIC ACID,500,Oral,mg,TDS,Oral Suspension,50 mg/5ml,3004090,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Bottle,125,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
HYDROCHLOROTHIAZIDE,50,Oral,mg,QDS,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Bottle,50,mL,"['50 mg', '5ml']"
HYDROCHLOROTHIAZIDE,50,Oral,mg,QDS,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,100,mL,"['50 mg', '5ml']"
HYDROCHLOROTHIAZIDE,50,Oral,mg,QDS,Oral Suspension,50 mg/5ml,1019854,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,500,mL,"['50 mg', '5ml']"
DOCUSATE,12.5,Oral,mg,QDS,Oral Solution Sugar Free,12.5 mg/5ml,1003676,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['12.5 mg', '5ml']"
VERAPAMIL,40,Oral,mg,TDS,Oral Solution Sugar Free,40 mg/5ml,1007173,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,150,mL,"['40 mg', '5ml']"
DEXAMETHASONE,500,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,500,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
CARBOCISTEINE,750,Oral,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,25,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,25,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,1.25,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
METHADONE,10,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,10,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
TRAZODONE,50,Oral,mg,14:00,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
OXYCODONE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",Oral,mg,8H,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
SODIUM VALPROATE,500,Oral,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,5,Oral,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,200,Oral,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
PROMAZINE,50,Oral,mg,TDS,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
OXYCODONE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
METOCLOPRAMIDE,5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1005899,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,3,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,3,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
DEXAMETHASONE,"6,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"6,000.00",Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DOCUSATE,150,PEG,mg,TDS,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
BACLOFEN,10,PEG,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
DOMPERIDONE,10,PEG,mg,TDS,Oral Suspension,5 mg/5ml,3003685,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,200,mL,"['5 mg', '5ml']"
DOCUSATE,150,Oral,mg,TDS,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
FUROSEMIDE,20,PEG,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
PREDNISOLONE,30,PEG,mg,OM,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
DOCUSATE,100,PEG,mg,ON,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
GABAPENTIN,400,PEG,mg,BD,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
FUROSEMIDE,20,PEG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
MORPHINE SULFATE,5,PEG,mg,ON,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,PEG,mg,ON,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
DOCUSATE,200,Oral,mg,TDS,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
DOCUSATE,50,NG / PEG,mg,ON,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
PAROXETINE,40,NG / PEG,mg,OM,Liquid,10 mg/5ml,3006509,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['10 mg', '5ml']"
LEVOTHYROXINE,50,NG / PEG,microgram,OM,Oral Solution,100 micrograms/5ml,1014344,N,ENDOCRINE SYSTEM,06.02.01,Pack,100,mL,"['100 micrograms', '5ml']"
FUROSEMIDE,20,NG / PEG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
PARACETAMOL,"1,000.00",Oral,mg,TDS,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
PARACETAMOL,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
METHADONE,10,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,10,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
FERROUS FUMARATE,140,PO / NG / PEG,mg,BD,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
CARBOCISTEINE,375,PO / NG / PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
FERROUS FUMARATE,140,PO / NG / PEG,mg,OM,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
OXYBUTYNIN,100,Oral,microgram,OD,Oral Solution,2.5 mg/5ml,1019608,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Bottle,150,mL,"['2.5 mg', '5ml']"
METHADONE,70,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,70,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
HALOPERIDOL,1.5,Oral,mg,8H,Oral Solution Sugar Free,10 mg/5ml,1018532,Y,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,mL,"['10 mg', '5ml']"
DOCUSATE,100,Oral,mg,ON,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
RIFAXIMIN [:EXTEMP],550,Oral,mg,BD,Oral Suspension,100 mg/5ml,1017470,N,INFECTIONS,05.01.08,Batch,100,mL,"['100 mg', '5ml']"
RIFAMPICIN,550,Oral,mg,BD,Oral Suspension,100 mg/5ml,2004683,N,INFECTIONS,05.01.09,Bottle,120,mL,"['100 mg', '5ml']"
SODIUM VALPROATE,"1,000.00",Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
CLONAZEPAM,250,Oral,microgram,ON,Oral Solution Sugar Free,500 micrograms/5ml,1013395,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['500 micrograms', '5ml']"
SODIUM VALPROATE,500,Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PREGABALIN,20,Oral,mg,ON,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
RISPERIDONE,0.25,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
CEFALEXIN,250,NG,mg,TDS,Oral Suspension,250 mg/5ml,2003163,N,INFECTIONS,05.01.02,Bottle,100,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,"Every 6 hours at 04:00,10:00,16:00,22:00",Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,"Every 6 hours at 04:00,10:00,16:00,22:00",Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,PO / NG / PEG,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,PO / NG / PEG,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
GABAPENTIN,750,PEG,mg,TDS,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,750,PEG,mg,QDS,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
OMEPRAZOLE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1015395,N,GASTRO-INTESTINAL SYSTEM,01.03.05,Pack,75,mL,"['10 mg', '5ml']"
OMEPRAZOLE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1015395,N,GASTRO-INTESTINAL SYSTEM,01.03.05,Pack,100,mL,"['10 mg', '5ml']"
TEMAZEPAM,15,PEG,mg,ON,Oral Solution Sugar Free,10 mg/5ml,11000952,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Bottle,300,mL,"['10 mg', '5ml']"
GABAPENTIN,750,Oral,mg,QDS,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
PROPRANOLOL,40,PEG,mg,OM,Oral Solution Sugar Free,10 mg/5ml,3002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['10 mg', '5ml']"
METHADONE (contains sugar),30,Oral,mg,OM,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
OXYCODONE,2,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
DEXAMETHASONE,350,Oral,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,400,Oral,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,350,Oral,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DEXAMETHASONE,400,Oral,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DEXAMETHASONE,750,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,800,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,750,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DEXAMETHASONE,800,Oral,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
OXYCODONE,3,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
QUETIAPINE,15,Oral,mg,ON,Oral Suspension,20 mg/ml,1023034,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['20 mg', 'ml']"
QUETIAPINE,10,Oral,mg,BD,Oral Suspension,20 mg/ml,1023034,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['20 mg', 'ml']"
QUETIAPINE,10,Oral,mg,OM,Oral Suspension,20 mg/ml,1023034,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['20 mg', 'ml']"
